DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2022,157.889,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Lithuania,2023,99.370,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2022,41.073,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Luxembourg,2023,22.780,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2022,11.227,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Latvia,2023,11.196,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Moldova,2022,62.186,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Montenegro,2022,356.917,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,North Macedonia,2022,833.116,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Malta,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2022,5524.459,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Netherlands,2023,3782.494,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Norway,2022,809.429,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2022,42145.612,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Poland,2023,34037.957,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2022,6.827,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Portugal,2023,5.233,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2022,3513.394,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2023,2590.307,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Serbia,2022,6886.464,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2022,1482.177,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2023,1453.437,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2022,747.944,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2023,725.118,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2022,2402.819,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2023,2402.437,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Türkiye,2022,50605.153,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Solid fossil fuels,Thousand tonnes of oil equivalent,Kosovo*,2022,1532.954,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Albania,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Cyprus,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Cyprus,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Czechia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Czechia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Germany,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Germany,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Denmark,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Denmark,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Estonia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Estonia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Greece,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Greece,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Spain,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Spain,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Finland,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Finland,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,France,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,France,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Georgia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Croatia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Croatia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Hungary,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Hungary,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Ireland,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Ireland,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Italy,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Italy,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Lithuania,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Lithuania,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Luxembourg,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Luxembourg,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Latvia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Latvia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Moldova,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Montenegro,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,North Macedonia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Malta,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Malta,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Netherlands,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Netherlands,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Norway,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Poland,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Poland,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Portugal,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Portugal,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Romania,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Romania,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Serbia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Sweden,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Sweden,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Slovenia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Slovenia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Slovakia,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Slovakia,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Türkiye,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Manufactured gases,Thousand tonnes of oil equivalent,Kosovo*,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Albania,2022,79.192,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Austria,2022,748.481,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Austria,2023,-6.160,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,-260.361,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,-647.248,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Belgium,2023,140.868,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,-1048.549,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2023,-286.628,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Cyprus,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Cyprus,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Czechia,2022,-1163.271,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Czechia,2023,-789.645,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Germany,2022,-2343.594,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Germany,2023,793.207,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Denmark,2022,117.170,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Denmark,2023,269.412,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Estonia,2022,86.930,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Estonia,2023,284.118,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Greece,2022,296.389,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Greece,2023,422.442,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Spain,2022,-1702.639,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Spain,2023,-1200.065,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,1114.523,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023,-38.300,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Finland,2022,1076.268,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Finland,2023,148.237,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,France,2022,1284.998,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,France,2023,-4339.785,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Gross available energy,Electricity,Thousand tonnes of oil equivalent,Georgia,2022,48.332,
