,PC1,PC2,Countries
0,0.083365155323767,0.6344100385647847,"UE27
EU27"
1,1.2149651829021002,1.8487708348665908,BE
2,-2.275821553359449,0.2313235213525739,BG
3,-5.145856990488192,-1.4994377924346394,CZ
4,1.4804754414361891,-0.9182581721513029,DK
5,0.5349154323783472,-0.5134610947158066,D-W
6,-0.04694319037853994,-0.5114657539454516,DE
7,-2.2675243113665355,0.40436327035628633,D-E
8,-5.633270223141194,-1.685769520139651,EE
9,1.5024672241491623,-0.8573943413017201,IE
10,-0.6050255746672104,2.2945264786980193,EL
11,0.5923719635481436,0.3074160501845611,ES
12,-0.32445746427964756,0.5344184235368965,FR
13,1.1884610020431985,1.1485000281887605,HR
14,0.49784850297137845,2.510215426016299,IT
15,2.1577491895790892,-1.7401398113876343,CY
16,-3.669303021783304,-0.993898474334087,LV
17,-0.9672281148959636,0.7134885019493848,LT
18,1.614005187196834,-1.0673849344054096,LU
19,2.607463189052232,0.5986282178928223,HU
20,4.098096178627177,-1.5407426778769735,MT
21,1.9040273228499707,-1.9590269517626389,NL
22,0.00023187941037469063,-0.7228962799311967,AT
23,-0.5145520764008412,1.2455811182563985,PL
24,1.6898981225736096,1.754240493457609,PT
25,-1.845042047051241,0.9370862903061267,RO
26,-1.1873695707398655,-0.5465858158278024,SI
27,-0.6855388743581636,1.8098107494425546,SK
28,1.4333003716472748,-0.7068276461655587,FI
29,2.5682916672213034,-1.7094901766897965,SE
