DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2020,1630.322,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2021,1439.145,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2022,1658.650,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2023,1311.313,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2020,83590.076,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2021,90966.492,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Primary production,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,92505.094,
