DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2022,1.596,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Estonia,2023,3.217,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2020,167.422,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2021,183.649,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2022,71.098,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Greece,2023,60.556,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2020,343.109,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2021,390.335,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2022,430.527,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Spain,2023,373.713,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2020,19133.281,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2021,18803.780,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2022,16773.155,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,European Union - 27 countries (from 2020),2023,14586.544,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2020,105.715,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2021,117.721,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2022,108.714,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Finland,2023,60.687,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2020,837.606,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2021,969.238,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2022,696.773,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,France,2023,580.012,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Croatia,2020,104.972,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Croatia,2021,108.871,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Croatia,2022,80.597,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Croatia,2023,67.272,
